institute_id,year,name_canonical,city,state,tlr_score,rpc_score,go_score,oi_score,pr_score,overall_score,rank,faculty_count,total_student_strength,faculty_student_ratio,phd_fulltime_current,phd_parttime_current,sponsored_projects_y1,sponsored_amount_y1,scopus_total_documents,scopus_total_citations,scopus_avg_citations_per_doc
IR-O-U-0234,2025,"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,79.44,61.76,78.52,67.71,44.19,69.25,3,2938,25179,8.57,2167,1019,444,473138286,5000,27633,5.53
IR-O-U-0318,2021,Mumbai University,Mumbai,Maharashtra,49.58,19.08,78.35,47.78,5.23,41.56,71,421,7295,17.33,1123,0,28,199965654,419,6907,16.48
IR-O-U-0318,2022,Mumbai University,Mumbai,Maharashtra,55.16,22.52,82.54,55.95,35.08,48.93,45,445,7524,16.91,1147,0,39,256151168,467,6350,13.6
IR-O-U-0318,2023,Mumbai University,Mumbai,Maharashtra,56.15,17.82,86.24,56.27,35.47,48.63,56,456,7472,16.39,955,0,24,229655578,484,4875,10.07
IR-O-U-0318,2024,Mumbai University,Mumbai,Maharashtra,60.71,16.86,86.29,54.68,38.62,49.86,61,560,7460,13.32,1686,0,43,322971435,504,4068,8.07
IR-O-U-0318,2025,Mumbai University,Mumbai,Maharashtra,64.43,19.54,88.25,58.88,37.51,52.48,54,505,7706,15.26,2156,0,102,808462928,582,1611,2.77
IR-O-U-0235,2021,Mysore University,Mysuru,Karnataka,68.77,18.79,90.54,54.24,28.80,52.68,19,451,6165,13.67,1146,0,110,117665402,460,9121,19.83
IR-O-U-0235,2022,Mysore University,Mysuru,Karnataka,68.90,16.81,90.68,53.79,21.36,51.37,33,438,6221,14.2,1170,0,41,115432000,475,7637,16.08
IR-O-U-0235,2023,Mysore University,Mysuru,Karnataka,67.43,18.61,87.02,54.62,21.51,50.82,44,427,6478,15.17,350,565,84,51470388,442,5353,12.11
IR-O-U-0235,2024,Mysore University,Mysuru,Karnataka,70.80,19.35,79.51,57.96,22.91,51.04,54,436,6554,15.03,332,544,83,504384000,480,3563,7.42
IR-O-U-0235,2025,Mysore University,Mysuru,Karnataka,69.37,19.85,76.72,58.02,20.72,49.98,71,438,6549,14.95,376,198,92,541756582,525,1989,3.79
IR-O-U-0239,2021,NITTE,Mangaluru,Karnataka,60.34,7.25,57.87,67.37,24.51,41.04,77,604,4280,7.09,86,56,26,24220402,296,3324,11.23
IR-O-U-0239,2022,NITTE,Mangaluru,Karnataka,62.49,10.36,61.47,67.95,27.01,43.64,75,564,4333,7.68,111,73,32,26541008,442,4540,10.27
IR-O-U-0239,2023,NITTE,Mangaluru,Karnataka,63.85,18.72,61.97,69.22,29.94,47.07,65,566,4490,7.93,131,147,38,36727413,671,6106,9.1
IR-O-U-0239,2024,NITTE,Mangaluru,Karnataka,70.64,20.84,62.34,63.80,31.61,49.45,66,672,6447,9.59,172,266,64,39084293,971,5346,5.51
IR-O-U-0239,2025,NITTE,Mangaluru,Karnataka,69.91,21.81,62.75,60.02,31.95,49.26,80,795,9140,11.5,174,324,62,73128065,1890,5007,2.65
IR-O-U-0027,2021,Osmania University,Hyderabad,Telangana,52.04,28.16,79.86,51.62,39.67,49.16,32,428,7475,17.46,2953,2029,97,661257133,575,8261,14.37
IR-O-U-0027,2022,Osmania University,Hyderabad,Telangana,60.22,30.41,79.98,56.37,42.40,53.07,22,445,7224,16.23,2000,1200,88,524500000,762,8157,10.7
IR-O-U-0027,2023,Osmania University,Hyderabad,Telangana,58.74,31.24,81.26,57.91,36.40,52.67,36,429,7538,17.57,1800,1100,56,360000000,840,6750,8.04
IR-O-U-0027,2024,Osmania University,Hyderabad,Telangana,64.75,28.77,85.33,58.05,37.61,54.69,43,470,7719,16.42,1000,900,62,247500000,800,4110,5.14
IR-O-U-0027,2025,Osmania University,Hyderabad,Telangana,75.88,27.86,86.93,57.17,37.07,57.94,30,625,6894,11.03,1444,542,65,31760774,758,2270,2.99
IR-O-U-0078,2021,Panjab University,Chandigarh,Chandigarh,48.88,40.86,71.57,53.49,50.12,51.59,23,1005,15953,15.87,2280,533,163,286749020,1647,46429,28.19
IR-O-U-0078,2022,Panjab University,Chandigarh,Chandigarh,48.43,43.18,74.62,60.73,43.29,52.80,25,968,16944,17.5,2747,0,187,270785340,1733,36601,21.12
IR-O-U-0078,2023,Panjab University,Chandigarh,Chandigarh,51.09,46.65,75.77,59.92,43.96,54.86,25,971,16003,16.48,2400,454,261,217853669,1762,33477,19.0
IR-O-U-0078,2024,Panjab University,Chandigarh,Chandigarh,54.31,42.01,74.07,63.38,50.68,55.11,38,969,16674,17.21,2489,421,275,198419807,1728,34357,19.88
IR-O-U-0078,2025,Panjab University,Chandigarh,Chandigarh,56.77,41.58,80.37,65.25,47.82,56.88,35,950,13783,14.51,3097,0,143,417827398,1709,12279,7.18
IR-O-U-0470,2021,Periyar University,Salem,Tamil Nadu,51.40,22.43,60.04,52.69,19.52,41.38,73,162,2084,12.86,355,212,15,24244584,416,10284,24.72
IR-O-U-0470,2022,Periyar University,Salem,Tamil Nadu,53.08,25.63,67.97,55.91,32.65,46.06,63,157,1957,12.46,377,199,18,27911045,504,8640,17.14
IR-O-U-0470,2023,Periyar University,Salem,Tamil Nadu,53.76,28.66,74.62,52.68,33.76,48.30,59,157,1986,12.65,366,178,26,21815834,432,5783,13.39
IR-O-U-0470,2024,Periyar University,Salem,Tamil Nadu,61.51,29.46,69.58,59.86,31.63,50.36,56,206,2245,10.9,324,198,11,24639447,468,4719,10.08
IR-O-U-0470,2025,Periyar University,Salem,Tamil Nadu,58.54,27.73,65.49,54.46,35.46,47.98,94,213,2077,9.75,272,260,9,2947986,451,1980,4.39
IR-O-U-0473,2021,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,49.93,39.07,68.47,58.60,37.34,49.98,30,3350,48995,14.63,1137,247,122,194569279,2560,49494,19.33
