institute_id,year,total_documents,total_citations,avg_citations_per_doc,note
IR-O-U-0225,2021,10,115,11.5,
IR-O-U-0225,2022,7,52,7.43,
IR-O-U-0225,2023,21,81,3.86,
IR-O-U-0225,2024,14,78,5.57,
IR-O-U-0225,2025,23,23,1.0,
IR-O-U-0239,2021,296,3324,11.23,
IR-O-U-0239,2022,442,4540,10.27,
IR-O-U-0239,2023,671,6106,9.1,
IR-O-U-0239,2024,971,5346,5.51,
IR-O-U-0239,2025,1890,5007,2.65,
IR-O-U-0487,2021,0,0,0,
IR-O-U-0487,2022,0,0,0,
IR-O-U-0487,2023,0,0,0,
IR-O-U-0487,2024,0,0,0,
IR-O-U-0487,2025,0,0,0,
IR-O-U-0232,2021,239,3874,16.21,
IR-O-U-0232,2022,251,3856,15.36,
IR-O-U-0232,2023,214,2204,10.3,
IR-O-U-0232,2024,264,2524,9.56,
IR-O-U-0232,2025,286,1223,4.28,
IR-O-U-0195,2021,550,15637,28.43,
IR-O-U-0195,2022,692,14809,21.4,
IR-O-U-0195,2023,787,11094,14.1,
IR-O-U-0195,2024,838,9247,11.03,
IR-O-U-0195,2025,859,3912,4.55,
IR-O-U-0453,2021,193,4626,23.97,
IR-O-U-0453,2022,177,3201,18.08,
IR-O-U-0453,2023,182,2318,12.74,
IR-O-U-0453,2024,236,1907,8.08,
IR-O-U-0453,2025,217,839,3.87,
IR-O-U-0345,2021,368,7655,20.8,
IR-O-U-0345,2022,422,6894,16.34,
IR-O-U-0345,2023,494,11519,23.32,
IR-O-U-0345,2024,554,5394,9.74,
IR-O-U-0345,2025,581,1954,3.36,
IR-O-U-0507,2021,146,2131,14.6,
IR-O-U-0507,2022,164,2260,13.78,
IR-O-U-0507,2023,212,2240,10.57,
IR-O-U-0507,2024,185,1866,10.09,
IR-O-U-0507,2025,254,2249,8.85,
IR-O-U-0036,2021,45,598,13.29,
IR-O-U-0036,2022,41,347,8.46,
IR-O-U-0036,2023,37,313,8.46,
IR-O-U-0036,2024,40,160,4.0,
IR-O-U-0036,2025,37,41,1.11,
IR-O-U-0784,2021,0,0,0,
IR-O-U-0784,2022,0,0,0,
IR-O-U-0784,2023,1,13,13.0,
IR-O-U-0784,2024,6,6,1.0,
IR-O-U-0784,2025,30,62,2.07,
IR-O-U-0181,2021,31,439,14.16,
IR-O-U-0181,2022,51,1953,38.29,
IR-O-U-0181,2023,94,1616,17.19,
IR-O-U-0181,2024,138,1165,8.44,
IR-O-U-0181,2025,229,542,2.37,
IR-O-U-0318,2021,419,6907,16.48,
IR-O-U-0318,2022,467,6350,13.6,
IR-O-U-0318,2023,484,4875,10.07,
IR-O-U-0318,2024,504,4068,8.07,
IR-O-U-0318,2025,582,1611,2.77,
IR-O-U-0014,2021,78,1663,21.32,
IR-O-U-0014,2022,60,1120,18.67,
IR-O-U-0014,2023,61,745,12.21,
IR-O-U-0014,2024,90,736,8.18,
IR-O-U-0014,2025,84,279,3.32,
IR-O-U-0246,2021,8,93,11.62,
IR-O-U-0246,2022,7,69,9.86,
IR-O-U-0246,2023,10,10,1.0,
IR-O-U-0246,2024,4,9,2.25,
IR-O-U-0246,2025,12,39,3.25,
IR-O-U-0011,2021,26,426,16.38,
IR-O-U-0011,2022,45,610,13.56,
IR-O-U-0011,2023,76,1174,15.45,
IR-O-U-0011,2024,84,806,9.6,
IR-O-U-0011,2025,79,209,2.65,
IR-O-U-0298,2021,281,5666,20.16,
IR-O-U-0298,2022,247,4033,16.33,
IR-O-U-0298,2023,266,3040,11.43,
IR-O-U-0298,2024,254,3502,13.79,
IR-O-U-0298,2025,304,1476,4.86,
IR-O-U-0051,2021,281,7564,26.92,
IR-O-U-0051,2022,370,5050,13.65,
IR-O-U-0051,2023,369,4150,11.25,
IR-O-U-0051,2024,426,4338,10.18,
IR-O-U-0051,2025,539,1714,3.18,
IR-O-U-0233,2021,368,7188,19.53,
IR-O-U-0233,2022,368,5274,14.33,
IR-O-U-0233,2023,334,2821,8.45,
IR-O-U-0233,2024,345,3045,8.83,
IR-O-U-0233,2025,392,1480,3.78,
IR-O-U-0569,2021,428,7505,17.54,
IR-O-U-0569,2022,523,8658,16.55,
IR-O-U-0569,2023,481,6818,14.17,
IR-O-U-0569,2024,515,4437,8.62,
IR-O-U-0569,2025,493,1936,3.93,
IR-O-I-1280,2021,403,12341,30.62,
IR-O-I-1280,2022,641,14199,22.15,
IR-O-I-1280,2023,689,12039,17.47,
IR-O-I-1280,2024,806,12497,15.5,
IR-O-I-1280,2025,832,4609,5.54,
IR-O-U-0576,2021,470,7705,16.39,
IR-O-U-0576,2022,454,6842,15.07,
IR-O-U-0576,2023,479,5091,10.63,
IR-O-U-0576,2024,483,3855,7.98,
IR-O-U-0576,2025,461,1561,3.39,
IR-O-U-0460,2021,737,11448,15.53,
IR-O-U-0460,2022,888,12504,14.08,
IR-O-U-0460,2023,956,10949,11.45,
IR-O-U-0460,2024,1074,7453,6.94,
IR-O-U-0460,2025,1243,2951,2.37,
