institute_id,year,total_documents_all_types,matched_journal_docs,match_rate_pct,pct_q1,pct_q2,pct_q3,pct_q4
IR-O-U-0099,2021,406,305,75.1,29.8,33.8,21.6,14.8
IR-O-U-0099,2022,386,289,74.9,33.9,28.0,21.5,16.6
IR-O-U-0099,2023,464,348,75.0,29.9,26.1,19.3,24.7
IR-O-U-0099,2024,519,380,73.2,31.3,31.3,20.8,16.6
IR-O-U-0099,2025,517,358,69.2,34.4,25.4,22.6,17.6
IR-O-U-0101,2021,3,3,100.0,66.7,0.0,33.3,0.0
IR-O-U-0101,2022,6,5,83.3,80.0,20.0,0.0,0.0
IR-O-U-0101,2023,7,6,85.7,33.3,0.0,50.0,16.7
IR-O-U-0101,2024,6,6,100.0,33.3,33.3,16.7,16.7
IR-O-U-0101,2025,5,4,80.0,50.0,50.0,0.0,0.0
IR-O-U-0105,2021,97,66,68.0,72.7,22.7,4.5,0.0
IR-O-U-0105,2022,112,85,75.9,76.5,11.8,9.4,2.4
IR-O-U-0105,2023,106,74,69.8,68.9,21.6,4.1,5.4
IR-O-U-0105,2024,117,73,62.4,72.6,20.5,5.5,1.4
IR-O-U-0105,2025,130,98,75.4,61.2,24.5,8.2,6.1
IR-O-U-0107,2021,519,380,73.2,42.6,31.6,13.7,12.1
IR-O-U-0107,2022,709,491,69.3,42.4,31.2,14.7,11.8
IR-O-U-0107,2023,671,490,73.0,46.7,32.4,12.4,8.4
IR-O-U-0107,2024,648,402,62.0,47.5,31.8,13.2,7.5
IR-O-U-0107,2025,647,462,71.4,38.3,34.8,16.2,10.6
IR-O-U-0108,2021,1380,988,71.6,39.0,29.0,16.1,15.9
IR-O-U-0108,2022,1596,1173,73.5,37.9,33.5,16.6,12.0
IR-O-U-0108,2023,1612,1172,72.7,37.5,32.8,16.8,12.9
IR-O-U-0108,2024,1515,1071,70.7,45.8,31.0,14.7,8.5
IR-O-U-0108,2025,1463,1117,76.3,41.4,31.1,15.5,12.1
IR-O-U-0109,2021,1542,1095,71.0,49.9,32.2,12.3,5.6
IR-O-U-0109,2022,1577,1151,73.0,47.6,33.6,12.5,6.3
IR-O-U-0109,2023,1562,1098,70.3,43.4,36.3,12.9,7.3
IR-O-U-0109,2024,1606,1073,66.8,44.9,34.8,13.0,7.3
IR-O-U-0109,2025,1527,1105,72.4,45.8,32.4,16.5,5.3
IR-O-U-0120,2021,3303,2407,72.9,38.3,32.1,19.9,9.7
IR-O-U-0120,2022,3592,2759,76.8,34.0,32.4,21.7,11.9
IR-O-U-0120,2023,3840,2916,75.9,36.0,32.9,20.6,10.4
IR-O-U-0120,2024,4089,3106,76.0,39.9,30.0,20.3,9.8
IR-O-U-0120,2025,4366,3247,74.4,37.0,31.8,20.2,11.0
IR-O-U-0121,2021,333,264,79.3,37.1,40.2,15.2,7.6
IR-O-U-0121,2022,290,245,84.5,39.6,36.3,17.1,6.9
IR-O-U-0121,2023,244,195,79.9,41.0,32.3,16.9,9.7
IR-O-U-0121,2024,283,229,80.9,44.5,27.5,17.5,10.5
IR-O-U-0121,2025,302,261,86.4,34.5,38.3,18.8,8.4
IR-O-U-0123,2021,116,77,66.4,26.0,31.2,22.1,20.8
IR-O-U-0123,2022,109,77,70.6,36.4,24.7,16.9,22.1
IR-O-U-0123,2023,142,110,77.5,27.3,21.8,29.1,21.8
IR-O-U-0123,2024,146,102,69.9,30.4,29.4,18.6,21.6
IR-O-U-0123,2025,117,86,73.5,30.2,25.6,25.6,18.6
IR-O-U-0136,2021,4,2,50.0,50.0,0.0,50.0,0.0
IR-O-U-0136,2023,5,0,0.0,,,,
IR-O-U-0136,2024,2,0,0.0,,,,
IR-O-U-0136,2025,2,2,100.0,0.0,50.0,0.0,50.0
IR-O-U-0143,2021,279,219,78.5,35.2,35.2,16.0,13.7
IR-O-U-0143,2022,320,256,80.0,34.8,42.6,12.9,9.8
IR-O-U-0143,2023,373,280,75.1,28.2,30.0,26.4,15.4
IR-O-U-0143,2024,461,358,77.7,28.2,38.5,17.6,15.6
IR-O-U-0143,2025,482,371,77.0,27.5,33.4,19.4,19.7
IR-O-U-0147,2021,210,143,68.1,51.7,28.0,7.7,12.6
IR-O-U-0147,2022,715,529,74.0,41.4,37.8,9.1,11.7
IR-O-U-0147,2023,783,495,63.2,44.4,27.5,9.3,18.8
IR-O-U-0147,2024,951,627,65.9,42.1,21.5,11.5,24.9
IR-O-U-0147,2025,1006,615,61.1,42.9,29.6,10.4,17.1
IR-O-U-0155,2021,208,161,77.4,41.0,27.3,16.1,15.5
IR-O-U-0155,2022,248,189,76.2,36.0,32.8,15.9,15.3
IR-O-U-0155,2023,260,176,67.7,38.1,36.4,12.5,13.1
IR-O-U-0155,2024,342,220,64.3,39.5,31.8,13.2,15.5
IR-O-U-0155,2025,311,209,67.2,36.4,31.6,17.7,14.4
IR-O-U-0159,2021,207,170,82.1,24.1,32.4,31.8,11.8
IR-O-U-0159,2022,251,190,75.7,27.4,32.1,17.9,22.6
IR-O-U-0159,2023,257,191,74.3,30.9,26.2,22.5,20.4
IR-O-U-0159,2024,297,224,75.4,35.7,29.9,23.2,11.2
IR-O-U-0159,2025,248,204,82.3,35.8,34.3,16.7,13.2
IR-O-U-0162,2021,70,69,98.6,23.2,34.8,24.6,17.4
